FSA,lat_coord,lon_coord
L1H,43.9702,-78.8804
L1J,43.8858,-78.8778
L1K,43.9364,-78.8441
L1L,43.9776,-78.8933
L1M,43.9648,-78.9597
L1N,43.8711,-78.9308
L1P,43.9092,-78.9833
L1R,43.9231,-78.9434
L1S,43.8414,-79.0221
L1T,43.8842,-79.0534
L1V,43.83,-79.117
L1W,43.8197,-79.0807
L1X,43.8636,-79.1265
L1Y,43.9553,-79.1196
L1Z,43.8784,-79.0068
L2A,42.9106,-78.9562
L2E,43.1049,-79.0872
L2G,43.0287,-79.0631
L2H,43.0861,-79.1423
L2J,43.1349,-79.1
L2M,43.1988,-79.2148
L2N,43.193,-79.2544
L2P,43.1518,-79.2063
L2R,43.1442,-79.3063
L2S,43.1448,-79.2644
L2T,43.1286,-79.2365
L2V,43.1059,-79.2003
L2W,43.1682,-79.2801
L3B,42.993,-79.2144
L3C,42.9982,-79.2664
L3K,42.9119,-79.2608
L3L,43.871,-79.5738
L3M,43.1764,-79.5758
L3P,43.9125,-79.2543
L3R,43.8562,-79.3234
L3S,43.8482,-79.2613
L3T,43.824,-79.3891
L3V,44.6095,-79.3586
L3X,44.0395,-79.4709
L3Y,44.0755,-79.5025
L3Z,44.1343,-79.6066
L4A,44.0185,-79.3153
L4B,43.8578,-79.3987
L4C,43.8675,-79.4413
L4E,43.9348,-79.4445
L4G,43.9962,-79.4473
L4H,43.8237,-79.6263
L4J,43.8148,-79.4545
L4K,43.8083,-79.5097
L4L,43.7917,-79.5768
L4M,44.4843,-79.6748
L4N,44.3633,-79.6908
L4P,44.3299,-79.4372
L4S,43.9204,-79.4111
L4T,43.6911,-79.6364
L4V,43.6963,-79.6207
L4W,43.6371,-79.6216
L4X,43.6176,-79.5799
L4Y,43.6029,-79.5931
L4Z,43.6161,-79.649
L5A,43.5881,-79.6091
L5B,43.5784,-79.6313
L5C,43.5631,-79.6512
L5E,43.5835,-79.5611
L5G,43.5648,-79.5854
L5H,43.542,-79.6154
L5J,43.51,-79.6289
L5K,43.5266,-79.661
L5L,43.5377,-79.6912
L5M,43.5629,-79.7199
L5N,43.5906,-79.7599
L5R,43.6086,-79.6731
L5S,43.6754,-79.6817
L5T,43.6568,-79.667
L5V,43.5988,-79.6942
L5W,43.6329,-79.7096
